iter	Passed	Remaining
0	12	10133
1	25	10106
2	38	10159
3	51	10308
4	67	10659
5	81	10788
6	95	10827
7	109	10831
8	123	10835
9	137	10882
10	150	10772
11	163	10732
12	176	10707
13	190	10709
14	205	10737
15	218	10688
16	231	10640
17	243	10594
18	257	10572
19	271	10576
20	284	10559
21	297	10513
22	312	10570
23	326	10549
24	339	10526
25	355	10569
26	376	10768
27	392	10829
28	407	10831
29	422	10846
30	438	10883
31	455	10936
32	470	10945
33	486	10966
34	501	10957
35	515	10946
36	532	10974
37	546	10964
38	562	10974
39	575	10938
40	590	10932
41	605	10923
42	621	10942
43	636	10928
44	651	10936
45	666	10931
46	682	10940
47	700	10969
48	718	11017
49	743	11156
50	758	11143
51	773	11125
52	789	11120
53	803	11106
54	819	11101
55	837	11123
56	854	11134
57	870	11134
58	884	11110
59	900	11108
60	916	11103
61	931	11083
62	946	11077
63	959	11038
64	973	11008
65	988	10998
66	1003	10978
67	1019	10969
68	1034	10958
69	1049	10941
70	1064	10928
71	1079	10911
72	1094	10904
73	1108	10873
74	1122	10850
75	1135	10815
76	1150	10805
77	1166	10794
78	1181	10781
79	1196	10767
80	1211	10751
81	1227	10743
82	1242	10733
83	1256	10705
84	1270	10687
85	1283	10658
86	1298	10637
87	1312	10621
88	1327	10606
89	1344	10603
90	1360	10598
91	1374	10579
92	1388	10553
93	1402	10536
94	1416	10514
95	1431	10498
96	1448	10497
97	1463	10480
98	1479	10475
99	1494	10459
100	1510	10450
101	1525	10440
102	1541	10431
103	1556	10415
104	1571	10404
105	1586	10389
106	1598	10355
107	1612	10329
108	1626	10314
109	1642	10302
110	1656	10279
111	1671	10270
112	1686	10252
113	1700	10232
114	1713	10208
115	1726	10182
116	1739	10155
117	1752	10126
118	1764	10099
119	1779	10083
120	1793	10062
121	1805	10036
122	1818	10009
123	1832	9991
124	1847	9974
125	1861	9956
126	1874	9932
127	1887	9910
128	1900	9887
129	1913	9863
130	1925	9835
131	1939	9814
132	1952	9791
133	1964	9765
134	1976	9737
135	1988	9710
136	2001	9687
137	2014	9662
138	2026	9636
139	2038	9612
140	2051	9589
141	2064	9564
142	2076	9541
143	2089	9518
144	2102	9496
145	2114	9471
146	2126	9444
147	2138	9421
148	2151	9399
149	2163	9373
150	2176	9356
151	2199	9376
152	2209	9343
153	2221	9318
154	2233	9293
155	2245	9268
156	2257	9247
157	2270	9225
158	2282	9202
159	2295	9180
160	2306	9153
161	2318	9132
162	2332	9116
163	2345	9094
164	2358	9077
165	2370	9054
166	2383	9035
167	2397	9017
168	2410	9001
169	2423	8982
170	2435	8958
171	2448	8938
172	2460	8918
173	2475	8904
174	2487	8884
175	2501	8867
176	2513	8845
177	2525	8825
178	2537	8802
