iter	Passed	Remaining
0	11	8858
1	20	8040
2	29	7740
3	37	7533
4	47	7580
5	56	7515
6	67	7623
7	76	7618
8	86	7636
9	97	7676
10	108	7783
11	118	7767
12	128	7773
13	138	7764
14	148	7752
15	158	7780
16	167	7724
17	177	7692
18	186	7673
19	195	7638
20	206	7668
21	216	7657
22	225	7629
23	235	7616
24	244	7592
25	253	7561
26	265	7591
27	277	7648
28	286	7625
29	296	7620
30	307	7632
31	316	7605
32	329	7661
33	339	7649
34	348	7627
35	358	7615
36	367	7586
37	377	7576
38	388	7574
39	397	7549
40	408	7556
41	417	7541
42	427	7529
43	438	7533
44	447	7507
45	458	7508
46	469	7521
47	481	7541
48	493	7557
49	503	7552
50	512	7522
51	522	7520
52	532	7499
53	543	7509
54	555	7526
55	564	7502
56	574	7492
57	585	7492
58	595	7475
59	606	7474
60	616	7472
61	625	7449
62	635	7439
63	645	7419
64	655	7408
65	664	7386
66	674	7381
67	684	7372
68	693	7349
69	703	7337
70	713	7322
71	724	7321
72	738	7358
73	750	7360
74	764	7387
75	773	7369
76	785	7373
77	794	7352
78	803	7334
79	814	7331
80	823	7308
81	834	7305
82	844	7295
83	854	7286
84	866	7289
85	876	7276
86	885	7257
87	895	7242
88	903	7220
89	914	7216
90	925	7210
91	937	7211
92	947	7201
93	956	7183
94	965	7167
95	975	7154
96	984	7135
97	995	7129
98	1004	7111
99	1014	7098
100	1023	7084
101	1032	7067
102	1043	7058
103	1051	7036
104	1061	7026
105	1070	7009
106	1080	6996
107	1089	6982
108	1098	6964
109	1108	6952
110	1118	6940
111	1127	6928
112	1136	6908
113	1146	6897
114	1155	6881
115	1164	6866
116	1174	6858
117	1185	6851
118	1196	6847
119	1208	6847
120	1216	6829
121	1226	6815
122	1236	6803
123	1244	6784
124	1254	6775
125	1264	6762
126	1274	6756
127	1283	6737
128	1292	6723
129	1302	6713
130	1312	6701
131	1322	6690
132	1331	6675
133	1340	6662
134	1348	6644
135	1358	6630
136	1368	6620
137	1376	6601
138	1386	6593
139	1395	6577
140	1404	6564
141	1415	6559
142	1426	6556
143	1437	6548
144	1446	6532
145	1455	6520
146	1464	6505
147	1473	6489
148	1483	6480
149	1491	6463
150	1501	6453
151	1510	6440
152	1520	6431
153	1530	6421
154	1540	6410
155	1548	6392
156	1558	6381
157	1566	6363
158	1576	6357
159	1585	6343
160	1596	6334
161	1606	6325
162	1614	6311
163	1625	6305
164	1635	6293
165	1645	6284
166	1658	6285
167	1667	6274
168	1676	6260
169	1686	6250
170	1696	6238
171	1705	6227
172	1714	6213
173	1723	6200
174	1732	6188
175	1741	6174
176	1750	6162
177	1760	6151
178	1770	6143
179	1779	6130
180	1788	6116
181	1798	6108
182	1807	6093
183	1816	6082
184	1826	6070
185	1836	6062
186	1846	6052
187	1855	6040
188	1865	6031
189	1876	6024
190	1884	6009
191	1896	6004
192	1907	5998
193	1918	5994
194	1930	5989
195	1941	5983
196	1952	5975
197	1963	5969
198	1974	5963
199	1985	5955
200	1996	5950
201	2007	5943
202	2017	5931
203	2028	5926
204	2038	5917
205	2048	5906
206	2058	5897
207	2069	5890
208	2080	5882
209	2091	5875
210	2100	5862
211	2110	5853
212	2120	5844
213	2129	5831
214	2139	5821
215	2148	5809
216	2159	5801
217	2168	5789
218	2178	5778
219	2189	5771
220	2199	5762
221	2208	5750
222	2219	5742
223	2229	5732
224	2240	5726
225	2250	5716
226	2260	5706
227	2271	5698
228	2280	5686
229	2290	5676
230	2299	5664
231	2308	5651
232	2317	5639
233	2326	5626
234	2335	5615
235	2344	5603
236	2354	5592
237	2364	5582
238	2373	5571
239	2384	5563
240	2394	5553
241	2405	5547
242	2416	5538
243	2425	5527
244	2437	5520
245	2447	5511
246	2456	5500
247	2466	5489
248	2475	5478
249	2485	5468
250	2496	5459
251	2504	5447
252	2514	5437
253	2523	5424
254	2534	5416
255	2542	5403
256	2552	5392
257	2563	5386
258	2574	5377
259	2584	5367
260	2594	5357
261	2603	5346
262	2613	5336
263	2622	5325
264	2633	5316
265	2645	5310
266	2655	5301
267	2665	5290
268	2676	5282
269	2685	5271
270	2697	5264
271	2705	5251
272	2714	5239
273	2723	5228
274	2732	5216
275	2741	5205
276	2750	5193
277	2761	5184
278	2769	5171
279	2778	5160
280	2789	5151
281	2797	5139
282	2808	5131
283	2817	5118
284	2827	5109
285	2838	5100
286	2848	5090
287	2858	5080
288	2871	5076
289	2880	5065
290	2891	5058
291	2901	5047
292	2911	5038
293	2921	5028
294	2930	5016
295	2940	5007
296	2949	4994
297	2958	4984
298	2969	4976
299	2977	4963
300	2987	4952
301	2997	4942
302	3006	4931
303	3015	4919
304	3025	4909
305	3035	4900
306	3044	4888
307	3053	4878
308	3063	4867
309	3072	4857
310	3083	4848
311	3091	4835
312	3101	4826
313	3110	4814
314	3120	4804
315	3129	4793
316	3140	4785
317	3150	4774
318	3159	4763
319	3168	4752
320	3177	4741
321	3188	4733
322	3198	4723
323	3207	4711
324	3215	4699
325	3223	4687
326	3232	4676
327	3241	4664
328	3250	4653
329	3260	4644
330	3269	4633
331	3280	4623
332	3290	4614
333	3300	4604
334	3309	4593
335	3318	4582
336	3327	4571
337	3336	4560
338	3345	4549
339	3354	4538
340	3363	4528
341	3374	4518
342	3383	4508
343	3392	4496
344	3401	4485
345	3409	4473
346	3419	4464
347	3428	4453
348	3437	4442
349	3447	4432
350	3456	4421
351	3465	4410
352	3473	4398
353	3482	4387
354	3491	4376
355	3500	4365
356	3509	4354
357	3518	4343
358	3527	4333
359	3537	4323
360	3547	4313
361	3555	4302
362	3566	4293
363	3575	4282
364	3585	4272
365	3593	4261
366	3603	4251
367	3612	4240
368	3622	4230
369	3631	4220
370	3641	4210
371	3651	4201
372	3660	4190
373	3670	4180
374	3678	4169
375	3687	4158
376	3696	4147
377	3704	4135
378	3714	4126
379	3723	4115
380	3733	4105
381	3741	4094
382	3750	4083
383	3759	4072
384	3767	4061
385	3777	4051
386	3785	4040
387	3795	4029
388	3804	4019
389	3814	4010
390	3824	4000
391	3835	3992
392	3844	3981
393	3855	3972
394	3864	3962
395	3873	3951
396	3884	3943
397	3893	3933
398	3902	3922
399	3911	3911
400	3920	3901
401	3930	3891
402	3940	3881
403	3949	3871
404	3959	3861
405	3967	3849
406	3976	3839
407	3984	3828
408	3992	3817
409	4001	3806
410	4011	3796
411	4019	3785
412	4028	3774
413	4037	3764
414	4046	3753
415	4057	3745
416	4065	3734
417	4075	3724
418	4083	3712
419	4092	3702
420	4101	3691
421	4110	3681
422	4118	3670
423	4126	3659
424	4136	3650
425	4146	3640
426	4155	3629
427	4164	3619
428	4174	3610
429	4185	3601
430	4195	3592
431	4204	3582
432	4213	3571
433	4222	3560
434	4232	3551
435	4241	3541
436	4250	3530
437	4259	3520
438	4268	3510
439	4277	3499
440	4285	3488
441	4294	3478
442	4304	3468
443	4313	3458
444	4323	3448
445	4332	3439
446	4342	3429
447	4351	3418
448	4360	3408
449	4368	3398
450	4378	3388
451	4386	3377
452	4394	3366
453	4403	3355
454	4412	3345
455	4420	3334
456	4429	3324
457	4438	3314
458	4449	3305
459	4458	3295
460	4467	3285
461	4475	3274
462	4485	3264
463	4494	3254
464	4503	3244
465	4513	3235
466	4522	3225
467	4533	3216
468	4542	3205
469	4551	3195
470	4560	3185
471	4569	3175
472	4578	3165
473	4587	3155
474	4649	3181
475	4687	3190
476	4699	3182
477	4725	3183
478	4735	3173
479	4744	3163
480	4754	3152
481	4762	3142
482	4771	3131
483	4781	3121
484	4790	3111
485	4799	3100
486	4807	3090
487	4816	3079
488	4825	3068
489	4834	3058
490	4845	3049
491	4854	3039
492	4862	3028
493	4872	3018
494	4882	3008
495	4892	2998
496	4902	2988
497	4912	2978
498	4922	2969
499	4932	2959
500	4943	2950
501	4953	2940
502	4963	2930
